sch_name,sch_alias
福建幼儿师范高等专科学校,福建幼儿师范高等专科学校
绵阳职业技术学院,绵阳职业技术学院
吉林工商学院,吉林财税高等专科学校
吉林工商学院,吉林财税专科学校
吉林工商学院,吉林工商学院
吉林工商学院,吉林粮食高等专科学校
吉林工商学院,吉林粮食专科学校
吉林工商学院,吉林粮油食品专科学校
吉林工商学院,吉林商业高等专科学校
吉林工商学院,吉林商业专科学校
青海民族大学,青海民族大学
青海民族大学,青海民族学院
民办安徽旅游职业学院,民办安徽旅游职业学院
中国人民解放军海军工程大学,海军工程大学
中国人民解放军海军工程大学,中国人民解放军海军工程大学
广东司法警官职业学院,广东司法警官职业学院
中山职业技术学院,中山市职业技术学院
中山职业技术学院,中山职业技术学院
湖北汽车工业学院,湖北汽車工業學院
湖北汽车工业学院,湖北汽车工业学院
贵州民族大学人文科技学院,贵州民族大学人文科技学院
合肥通用职业技术学院,合肥市通用职业技术学院
合肥通用职业技术学院,合肥通用职业技术学院
中山火炬职业技术学院,中山火炬职业技术学院
中央司法警官学院,中央司法警官大学
中央司法警官学院,中央司法警官教育学院
中央司法警官学院,中央司法警官学院
重庆工商大学派斯学院,重庆工商大学派斯学院
山西运城农业职业技术学院,山西农大运城农学院
山西运城农业职业技术学院,山西运城农业职业技术学院
山西运城农业职业技术学院,运城农业职业技术学院
上海民航职业技术学院,上海民航职业技术学院
昭通学院,昭通师范高等专科学校
昭通学院,昭通学院
宁夏医科大学,宁夏医科大学
宁夏医科大学,宁夏医学院
沈阳职业技术学院,
沈阳职业技术学院,
沈阳职业技术学院,沈阳联合职工大学科技学院
沈阳职业技术学院,沈阳职业技术学院
广州科技贸易职业学院,广东科技贸易职业学院
广州科技贸易职业学院,广州科技贸易职业学院
阳泉职业技术学院,阳泉职业技术学院
江苏省青年管理干部学院,江苏省青年管理干部学院
深圳信息职业技术学院,深圳市信息职业技术学院
深圳信息职业技术学院,深圳信息职业技术学院
深圳信息职业技术学院,深圳信息職業技術學院
海军大连舰艇学院,大连舰艇学院
海军大连舰艇学院,海军大连舰艇学院
海军大连舰艇学院,中国人民解放军海军大连舰艇学院
宁波教育学院,宁波教育学院
